Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Rectangularity,CylDia,CylLength,CylFit,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,µm,µm,µm,µm,µm,µm,µm,µm,µm³,µm²,µm,µm²,µm, , , , , , , , , , , , ,µm², , , , , , , , , , , ,µm²,µm, ,µm,µm, , , ,µm,µm
4200,8878,1372.07,1714.988,1352.979,2170.035,635.751,2022.494,600.16,1331.738,977334582.6,1478571.177,5387.793,1630926.251,5143.623,0.8,3.413,0.293,0.632,0.4,0.297,0.64,0.907,0.093,0.955,1.072,0,5914284.706,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.604,0.623,2.128,0.47,6523705.006,994.365,0.711,637.618,1963.326,0,33.143,3.37,2303.329,661.102
5675,10232,1018.785,1265.952,1158.039,1672.284,353.411,1421.56,345.601,1101.713,358354182.1,815183.222,3977.107,893195.033,3703.714,0.805,4.732,0.211,0.609,0.371,0.243,0.648,0.913,0.087,0.931,1.379,0,3260732.889,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.444,0.692,3.277,0.305,3572780.132,755.725,0.765,355.912,1381.706,0,43.939,4.113,1895.052,510.164
375,6934,613.251,1389.861,686.74,1477.014,538.999,1503.202,506.34,699.799,286261774.9,295369.655,4366.378,527282.774,2889.306,0.441,2.74,0.365,0.415,0.172,0.337,0.195,0.56,0.44,0.662,0.371,0,1181478.62,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.151,0.465,1.274,0.785,2109131.098,612.87,0.511,688.59,789.151,0,63.077,2.969,3082.748,112.961
796,7221,538.104,725.773,698.393,1115.178,219.353,1047.147,184.667,678.29,89451246.91,227417.082,2280.082,256612.659,2184.638,0.741,5.084,0.197,0.483,0.233,0.176,0.55,0.886,0.114,0.958,0.93,0,909668.326,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.597,0.626,3.184,0.314,1026450.634,458.873,0.743,699.788,806.332,0,52.5,5.67,965.309,232.542
4282,8961,625.846,1188.789,743.957,1298.182,436.709,1240.921,298.82,641.291,220838400,307626.903,3734.691,460300.922,2892.012,0.526,2.973,0.336,0.482,0.232,0.241,0.277,0.668,0.332,0.774,0.543,0,1230507.612,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.745,0.573,1.704,0.587,1841203.69,590.333,0.549,446.865,1185.546,0,62.25,4.153,2115.93,193.364
5177,9683,432.62,878.194,550.436,1263.386,337.999,1295.83,250.972,637.119,123071492.8,146995.217,2758.929,243862.554,2118.227,0.493,3.738,0.268,0.342,0.117,0.194,0.243,0.603,0.397,0.768,0.344,0,587980.866,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.295,0.436,1.629,0.614,975450.218,444.218,0.586,338.391,743.226,0,55.517,5.163,1671.785,72.384
4194,8880,356.896,735.293,558.466,758.276,248.132,864.51,227.472,613.659,55018111.94,100039.966,2309.993,193250.85,1795.907,0.485,3.056,0.327,0.471,0.222,0.263,0.236,0.518,0.482,0.777,0.532,0,400159.866,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.358,0.736,2.251,0.444,773003.399,403.299,0.529,249.19,610.604,0,53.182,3.801,1449.562,84.045
1309,7475,422.507,768.495,613.079,875.211,300.12,963.694,248.192,605.705,84318543.25,140203.267,2414.299,224929.929,1909.853,0.55,2.916,0.343,0.483,0.233,0.258,0.302,0.623,0.377,0.791,0.534,0,560813.069,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.428,0.7,2.043,0.49,899719.715,456.599,0.547,334.901,692.431,0,69.048,3.883,1540.862,119.967
4034,8750,674.102,1234.02,660.879,1200.583,589.004,1203.515,531.643,601.797,244698228,356895.208,3876.787,493150.562,2770.427,0.546,2.038,0.491,0.561,0.315,0.442,0.298,0.724,0.276,0.715,0.505,0,1427580.833,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.817,0.55,1.122,0.891,1972602.248,624.941,0.649,648.526,908.831,0,57.838,2.264,2011.664,203.09
2226,7859,442.91,828.509,579.654,715.253,422.585,708.539,356.542,597.311,91736359.93,154070.869,2602.838,226625.651,1842.302,0.535,1.693,0.591,0.619,0.383,0.503,0.286,0.68,0.32,0.708,0.51,0,616283.476,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.234,0.81,1.372,0.729,906502.604,501.12,0.576,422.645,628.712,0,68.182,1.987,1387.05,132.587
1683,7644,517.233,776.57,693.386,937.491,231.953,812.378,212.304,589.829,78947947.17,210117.817,2439.668,270098.716,2108.247,0.666,4.042,0.247,0.552,0.304,0.261,0.444,0.778,0.222,0.864,0.966,0,840471.268,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.352,0.74,2.989,0.335,1080394.864,462.67,0.733,400.25,734.043,0,62.903,3.826,1443.43,192.727
4012,8735,496.98,809.772,611.171,891.472,428.103,862.841,371.381,547.97,122128410,193984.941,2543.974,273452.222,2053.909,0.614,2.082,0.48,0.557,0.311,0.43,0.377,0.709,0.291,0.807,0.508,0,775939.763,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.459,0.686,1.428,0.7,1093808.889,519.637,0.621,440.588,692.671,0,68.077,2.323,1368.359,131.418
8587,15590,353.81,767.115,620.097,984.483,106.877,966.26,87.775,544.196,34162680.82,98317.504,2409.964,201605.648,2025.977,0.461,9.211,0.109,0.359,0.129,0.091,0.213,0.488,0.512,0.841,0.934,0,393270.016,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.588,0.63,5.802,0.172,806422.591,363.487,0.608,120.025,916.494,0,68.125,11.008,1434.988,91.475
192,6692,403.89,673.531,587.113,875.168,174.562,843.207,163.953,541.241,46963512.49,128119.722,2115.959,183714.285,1907.747,0.6,5.014,0.199,0.462,0.213,0.194,0.36,0.697,0.303,0.902,0.839,0,512478.888,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.491,0.671,3.363,0.297,734857.142,380.837,0.665,187.652,833.523,0,52,5.143,1179.122,167.756
5683,10241,462.983,725.944,672.812,982.456,227.597,972.891,199.42,531.886,78771859.54,168352.768,2280.62,216877.371,1974.316,0.638,4.317,0.232,0.471,0.222,0.205,0.407,0.776,0.224,0.866,0.753,0,673411.071,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.46,0.685,2.956,0.338,867509.484,450.204,0.652,313.042,742.119,0,63.714,4.879,1905.041,134.018
1190,7413,444.566,811.509,531.977,1026.618,443.249,945.117,361.211,524.525,126750188.1,155225.545,2549.431,242789.373,1908.591,0.548,2.316,0.432,0.433,0.188,0.382,0.3,0.639,0.361,0.749,0.341,0,620902.181,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.93,0.518,1.2,0.833,971157.491,487.613,0.545,497.151,532.763,0,67.6,2.617,1442.991,114.573
4867,9447,387.608,638.592,487.765,836.8,231.442,879.168,231.48,521.536,49462161.28,117998.339,2006.197,168268.174,1704.194,0.607,3.616,0.277,0.463,0.215,0.263,0.368,0.701,0.299,0.849,0.609,0,471993.357,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.716,0.583,2.108,0.474,673072.696,359.603,0.702,232.585,612.667,0,60.476,3.798,1245.143,115.243
