Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Rectangularity,CylDia,CylLength,CylFit,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,µm,µm,µm,µm,µm,µm,µm,µm,µm³,µm²,µm,µm²,µm, , , , , , , , , , , , ,µm², , , , , , , , , , , ,µm²,µm, ,µm,µm, , , ,µm,µm
1112,9114,1444.324,2408.436,1802.093,2295.827,691.525,2238.024,602.011,1790.12,1498037474,1638397.217,7566.326,2008500.576,5656.116,0.6,3.32,0.301,0.629,0.396,0.269,0.36,0.816,0.184,0.748,1.032,0,6553588.867,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.274,0.785,2.606,0.384,8034002.304,1246.809,0.664,1087.405,2255.08,0,56.627,3.718,4729.034,447.381
845,8456,1317.851,2079.862,1790.51,2555.641,557.151,2365.983,469.757,1724.879,1334898557,1364026.308,6534.081,1761647.701,5385.874,0.634,4.587,0.218,0.516,0.266,0.199,0.401,0.774,0.226,0.824,0.958,0,5456105.232,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.427,0.701,3.214,0.311,7046590.805,1173.83,0.67,658.203,1963.372,0,45,5.037,4324.82,495.912
868,8500,1498.492,2249.349,1872.537,2707.605,949.302,2529.141,886.808,1689.008,2520105110,1763594.985,7066.537,2035079.718,6049.129,0.666,2.852,0.351,0.553,0.306,0.351,0.444,0.867,0.133,0.856,0.686,0,7054379.94,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.446,0.692,1.973,0.507,8140318.871,1410.919,0.661,949.879,2427.986,0,49.6,2.852,4234.278,480.896
944,8666,1650.71,2432.029,1644.537,2647.928,1122.798,2360.026,989.12,1655.939,2560058731,2140087.843,7640.445,2639796.495,6622.78,0.679,2.358,0.424,0.623,0.389,0.419,0.461,0.811,0.189,0.867,0.72,0,8560351.372,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.61,0.621,1.465,0.683,10559185.98,1383.667,0.6,1599.585,2488.634,0,33.469,2.386,3820.199,501.334
1283,9675,1485.059,2214.746,1566.653,2322.371,772.995,2299.272,692.986,1652.599,1472582797,1732117.772,6957.83,2184551.239,5928.555,0.671,3.004,0.333,0.639,0.409,0.301,0.45,0.793,0.207,0.852,0.965,0,6928471.088,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.482,0.675,2.027,0.493,8738204.956,1169.824,0.681,774.377,2140.166,0,37.561,3.318,3396.68,491.681
1024,8865,1610.398,2637.609,1705.84,2641.856,1569.169,2267.98,1381.441,1587.639,3702675276,2036837.816,8286.292,2625271.559,6662.595,0.611,1.684,0.594,0.61,0.372,0.609,0.373,0.776,0.224,0.804,0.491,0,8147351.265,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.549,0.646,1.087,0.92,10501086.24,1637.504,0.555,1958.106,2071.176,0,45.102,1.642,4021.275,336.526
915,8628,1464.594,2375.249,1702.807,3206.261,1280.069,3204.066,1065.712,1585.765,3659285272,1684707.284,7462.064,2369563.103,6262.102,0.617,2.505,0.399,0.457,0.209,0.333,0.38,0.711,0.289,0.839,0.41,0,6738829.136,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.883,0.531,1.33,0.752,9478252.411,1491.438,0.563,1280.431,3199.743,0,43.846,3.007,3884.151,594.044
560,7906,1535.437,2030.894,1791.017,2508.302,1116.925,2746.881,1157.507,1575.566,2627254903,1851628.304,6380.241,2098968.267,5623.069,0.756,2.246,0.445,0.612,0.375,0.421,0.572,0.882,0.118,0.881,0.661,0,7406513.214,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.4,0.714,1.604,0.624,8395873.07,1453.971,0.768,1289.325,1653.87,0,43.03,2.373,3906.271,512.516
2657,16260,1477.22,1927.717,1545.316,2218.768,570.475,2113.989,539.876,1487.35,1024151492,1713879.824,6056.103,1828783.035,5265.582,0.766,3.889,0.257,0.666,0.443,0.255,0.587,0.937,0.063,0.869,1.354,0,6855519.295,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.436,0.696,2.709,0.369,7315132.141,1057.895,0.741,1555.427,1746.217,0,58.966,3.916,3101.184,674.373
1990,12568,1326.006,2481.761,1500.488,2932.245,1105.757,2494.638,1050.991,1486.119,2547363755,1380959.034,7796.681,2303792.953,6620.777,0.534,2.652,0.377,0.452,0.204,0.421,0.285,0.599,0.401,0.849,0.426,0,5523836.136,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.954,0.512,1.357,0.737,9215171.814,1303.122,0.391,1111.897,2929.717,0,39.014,2.374,3660.611,422.92
329,7469,1250.283,1888.806,1383.649,2275.518,1014.346,2265.144,958.08,1471.804,1672209938,1227740.765,5933.86,1625995.04,5168.934,0.662,2.243,0.446,0.549,0.302,0.423,0.438,0.755,0.245,0.871,0.532,0,4910963.058,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.645,0.608,1.364,0.733,6503980.16,1198.997,0.676,1241.585,1430.847,0,54,2.364,3528.62,346.597
2841,17324,1269.96,1633.575,1496.45,1951.475,413.401,1841.946,376.023,1446.667,632113823.7,1266689.181,5132.028,1397680.163,4982.663,0.777,4.721,0.212,0.651,0.424,0.204,0.604,0.906,0.094,0.971,1.57,0,5066756.725,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.304,0.767,3.62,0.276,5590720.654,954.925,0.608,1176.917,1763.627,0,42.059,4.898,2091.123,774.235
3382,23554,1328.779,1712.703,1546.076,2061.596,378.814,1958.516,341.24,1444.022,632206916.9,1386740.208,5380.615,1574739.099,4956.59,0.776,5.442,0.184,0.645,0.415,0.174,0.602,0.881,0.119,0.921,1.776,0,5546960.831,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.333,0.75,4.081,0.245,6298956.394,962.445,0.729,455.005,1830.181,0,47.692,5.739,2415.142,821.937
429,7693,1143.092,1500.078,1541.774,1893.47,338.274,1811.055,303.192,1424.104,517065757.4,1026247.382,4712.634,1162116.17,4485.034,0.762,5.597,0.179,0.604,0.364,0.167,0.581,0.883,0.117,0.952,1.602,0,4104989.529,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.228,0.814,4.558,0.219,4648464.68,940.024,0.685,487.25,1891.793,0,38.25,5.973,1955.922,845.387
2674,16346,1126.71,1726.778,1586.795,2454.903,460.803,2237.285,410.561,1419.162,939873319.9,997043.848,5424.834,1302912.116,4984.641,0.652,5.327,0.188,0.459,0.211,0.184,0.426,0.765,0.235,0.919,0.881,0,3988175.392,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.547,0.646,3.444,0.29,5211648.464,1023.799,0.669,969.758,1740.998,0,34.571,5.449,3395.325,397.333
3089,19434,1266.015,1549.17,1464.772,2084.677,489.126,1919.234,484.718,1389.512,782037804.8,1258831.143,4866.862,1381473.184,4593.261,0.817,4.262,0.235,0.607,0.369,0.253,0.668,0.911,0.089,0.944,1.235,0,5035324.574,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.423,0.703,2.995,0.334,5525892.735,976.949,0.775,821.362,1771.846,0,44.468,3.959,2221.997,902.555
2129,13306,1165.776,1295.331,1360.266,1559.772,536.47,1502.804,510.489,1388.396,595976351.9,1067382.336,4069.401,1096887.708,3989.867,0.9,2.907,0.344,0.747,0.559,0.34,0.81,0.973,0.027,0.98,1.276,0,4269529.343,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.147,0.872,2.536,0.394,4387550.831,948.368,0.785,1245.143,1419.908,0,33.548,2.944,1306.189,443.497
456,7727,1169.4,1557.929,1429.461,1817.884,591.259,1669.598,537.781,1374.995,804479588.5,1074029.684,4894.38,1250894.666,4438.9,0.751,3.075,0.325,0.643,0.414,0.322,0.563,0.859,0.141,0.907,0.999,0,4296118.736,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.272,0.786,2.418,0.414,5003578.663,1010.36,0.667,855.588,1578.676,0,46.571,3.105,2238.945,644.905
396,7598,1134.511,1469.051,1381.462,2165.806,341.332,2059.037,311.734,1366.115,534729086.9,1010897.994,4615.16,1106460.094,4394.134,0.772,6.345,0.158,0.524,0.274,0.151,0.596,0.914,0.086,0.952,1.367,0,4043591.976,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.568,0.638,4.047,0.247,4425840.378,861.397,0.736,706.6,1587.96,0,47.333,6.605,2322.654,850.937
844,8455,1435.264,1615.034,1398.721,2077.76,1004.857,1845.09,967.518,1361.157,1529077300,1617906.094,5073.779,1667990.685,4977.528,0.889,2.068,0.484,0.691,0.477,0.524,0.79,0.97,0.03,0.981,0.775,0,6471624.374,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.485,0.673,1.392,0.718,6671962.738,1201.789,0.78,1477.037,1524.731,0,29.63,1.907,1416.419,1150.73
1814,11756,1246.45,1535.416,1372.693,1835.665,385.798,1575.36,336.263,1359.972,509009540,1220224.619,4823.651,1398489.237,4486.304,0.812,4.758,0.21,0.679,0.461,0.213,0.659,0.873,0.127,0.93,1.723,0,4880898.476,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.337,0.748,3.558,0.281,5593956.947,879.246,0.777,635.154,1500.263,0,47.027,4.685,2021.753,764.291
