Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Rectangularity,CylDia,CylLength,CylFit,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,µm,µm,µm,µm,µm,µm,µm,µm,µm³,µm²,µm,µm²,µm, , , , , , , , , , , , ,µm², , , , , , , , , , , ,µm²,µm, ,µm,µm, , , ,µm,µm
252,11399,3786.899,5814.569,4173.057,5394.619,3637.223,4493.866,3595.057,4138.078,42872967706,11263086.32,18267.008,14116374.97,14223.388,0.651,1.483,0.674,0.702,0.493,0.8,0.424,0.798,0.202,0.779,0.574,0,45052345.28,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.293,0.774,1.147,0.872,56465499.88,3905.139,0.686,4044.801,4399.027,0,28.952,1.25,8098.473,1506.528
814,20837,3025.694,4735.94,3531.273,5028.177,2092.276,5265.24,1932.557,3199.835,19451789194,7190183.163,14878.393,9622668.266,12342.699,0.639,2.403,0.416,0.602,0.362,0.367,0.408,0.747,0.253,0.83,0.683,0,28760732.65,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.424,0.702,1.688,0.592,38490673.07,2811.775,0.599,3597.802,4424.487,0,28.615,2.724,7347.887,1296.772
766,20571,2724.118,4145.43,2956.081,3989.023,1908.176,3938.084,1943.478,2942.601,11781478751,5828299.522,13023.252,6997104.168,10125.624,0.657,2.09,0.478,0.683,0.466,0.494,0.432,0.833,0.167,0.778,0.766,0,23313198.09,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.349,0.741,1.549,0.646,27988416.67,2432.128,0.738,2143.311,3881.754,0,36.14,2.026,7456.571,670.376
472,19283,2820.213,4660.516,3249.407,6277.694,950.134,6496.083,868.385,2918.595,10148167571,6246743.679,14641.442,8937382.698,12750.458,0.605,6.607,0.151,0.449,0.202,0.134,0.366,0.699,0.301,0.871,1.047,0,24986974.72,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.932,0.518,3.42,0.292,35749530.79,2099.77,0.659,1934.555,4383.215,0,41.754,7.481,7663.145,1087.628
635,19920,2656.171,3313.369,3054.225,4515.398,632.581,4466.868,573.954,2863.466,4567850184,5541175.365,10409.257,5886534.691,9663.11,0.802,7.138,0.14,0.588,0.346,0.128,0.643,0.941,0.059,0.928,1.94,0,22164701.46,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.478,0.676,4.828,0.207,23546138.76,1843.403,0.774,1427.252,3642.617,0,42.857,7.783,4308.078,1973.886
534,19528,2891.248,4929.164,2876.693,6921.991,1413.793,7345.613,1242.196,2832.155,14740391433,6565389.156,15485.426,8957571.03,14062.415,0.587,4.896,0.204,0.418,0.174,0.169,0.344,0.733,0.267,0.908,0.671,0,26261556.63,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.406,0.416,2.035,0.491,35830284.12,2145.243,0.652,1519.171,6921.251,0,25.258,5.913,7597.284,694.888
142,9061,2604.371,3642.022,2954.51,3861.517,1946.289,3532.155,1749.376,2813.2,11626510028,5327159.405,11441.751,6673894.405,9890.444,0.715,1.984,0.504,0.674,0.455,0.495,0.511,0.798,0.202,0.864,0.709,0,21308637.62,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.307,0.765,1.518,0.659,26695577.62,2450.399,0.706,2281.215,3539.512,0,24.262,2.019,5396.074,998.829
225,10955,2276.109,3102.233,3001.53,3669.906,544.967,3110.24,527.044,2811.723,3143157628,4068892.002,9745.952,4790477.753,9069.86,0.734,6.734,0.148,0.62,0.385,0.169,0.538,0.849,0.151,0.931,2.034,0,16275568.01,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.223,0.818,5.508,0.182,19161911.01,1773.248,0.694,546.016,3219.458,0,48.841,5.901,4815.312,1119.129
492,19365,2907.779,3736.188,2939.539,5212.165,935.67,4663.379,884.368,2754.426,7506173841,6640683.651,11737.581,6936479.568,11253.892,0.778,5.571,0.18,0.558,0.311,0.19,0.606,0.957,0.043,0.959,1.362,0,26562734.6,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.773,0.564,3.142,0.318,27745918.27,1937.604,0.716,2962.041,3927.313,0,36.076,5.273,4707.551,1838.174
118,8455,2643.603,3091.344,2909.74,4186.387,709.453,4002.623,627.913,2730.854,4524971773,5488863.468,9711.744,5856715.202,9303.041,0.855,5.901,0.169,0.631,0.399,0.157,0.731,0.937,0.063,0.958,1.848,0,21955453.87,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.439,0.695,4.101,0.244,23426860.81,1809.597,0.738,2561.635,3289.983,0,29,6.374,3708.622,2085.006
478,19308,2708.766,3598.19,2690.057,4650.294,806.743,4310.246,732.007,2728.477,5284155743,5762792.587,11304.049,6239939.213,10498.274,0.753,5.764,0.173,0.582,0.339,0.17,0.567,0.924,0.076,0.929,1.536,0,23051170.35,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.729,0.578,3.334,0.3,24959756.85,1748.4,0.792,2524.307,4108.387,0,54.673,5.888,5121.334,1603.306
254,11438,2473.947,2944.219,2613.722,3724.926,800.894,3585.004,774.651,2684.011,4082727229,4806962.49,9249.537,5122524.261,8477.285,0.84,4.651,0.215,0.664,0.441,0.216,0.706,0.938,0.062,0.917,1.611,0,19227849.96,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.425,0.702,3.264,0.306,20490097.05,1707.308,0.798,1961.615,2639.627,0,47.912,4.628,4227.049,1704.285
845,21046,3983.061,5074.15,2894.729,6268.192,2722.64,6766.735,2517.572,2662.552,25866578175,12460163.12,15940.912,13659452.44,15128.499,0.785,2.302,0.434,0.635,0.404,0.372,0.616,0.912,0.088,0.949,0.73,0,49840652.47,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.165,0.462,1.063,0.941,54637809.75,2808.684,0.742,2830.597,6180.458,0,29.029,2.688,6170.731,2102.748
45,6926,2614.146,3517.815,2729.609,3428.147,1760.596,3219.309,1629.218,2632.746,8626173353,5367222.309,11051.54,5827811.718,9086.995,0.743,1.947,0.514,0.763,0.581,0.506,0.552,0.921,0.079,0.822,0.889,0,21468889.24,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.256,0.796,1.55,0.645,23311246.87,2245.102,0.75,2716.387,2769.335,0,61.89,1.976,4973.046,1186.901
423,19063,2544.85,3087.537,2689.9,3916.21,1008.43,3690.384,961.558,2587.322,5562199610,5086442.471,9699.784,5323436.737,8752.061,0.824,3.883,0.258,0.65,0.422,0.261,0.679,0.955,0.045,0.902,1.288,0,20345769.88,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.456,0.687,2.667,0.375,21293746.95,1849.165,0.746,2719.969,3544.792,0,51.29,3.838,4470.614,1643.882
297,12480,2419.267,2913.88,2548.883,3478.377,615.78,3384.259,582.837,2586.82,2858581993,4596819.401,9154.222,4804900.169,8536.53,0.83,5.649,0.177,0.696,0.484,0.172,0.689,0.957,0.043,0.933,2.146,0,18387277.6,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.365,0.733,4.139,0.242,19219600.68,1582.332,0.816,1873.304,3358.87,0,49.405,5.807,4025.352,1663.482
470,19280,2244.998,2731.361,2649.942,4098.716,423.53,3730.099,406.758,2585.71,2408613166,3958420.277,8580.823,4213995.457,8061.261,0.822,9.678,0.103,0.548,0.3,0.109,0.676,0.939,0.061,0.939,2.28,0,15833681.11,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.547,0.647,6.257,0.16,16855981.83,1536.736,0.768,424.716,2817.442,0,47.065,9.17,4253.323,1554.543
857,21174,2473.173,3242.45,2670.687,4078.303,692.283,3997.175,653.698,2578.308,3948068119,4803953.648,10186.459,5341447.83,9167.736,0.763,5.891,0.17,0.606,0.368,0.164,0.582,0.899,0.101,0.9,1.702,0,19215814.59,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.527,0.655,3.858,0.259,21365791.32,1681.485,0.738,1935.241,3635.689,0,52.772,6.115,4924.134,1424.424
362,17407,2703.888,3246.192,2515.259,4056.548,915.177,4158.28,805.708,2572.15,4889256890,5742053.986,10198.213,6049201.488,9832.545,0.833,4.433,0.226,0.667,0.444,0.194,0.694,0.949,0.051,0.964,1.547,0,22968215.94,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.613,0.62,2.748,0.364,24196805.95,1715.218,0.831,2155.805,3749.336,0,29.552,5.161,3777.805,2053.969
401,18947,2384.773,2895.66,2491.716,3801.178,1097.486,3690.453,939.017,2545.517,5442701166,4466672.421,9096.985,4753813.744,8816.375,0.824,3.464,0.289,0.627,0.394,0.254,0.678,0.94,0.06,0.969,1.071,0,17866689.68,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.526,0.656,2.27,0.44,19015254.97,1794.601,0.8,1791.291,3631.912,0,33.768,3.93,3698.877,1751.568
